,address,category,similarity
8992,Senate to try to override Trump emergency declaration veto Thursday,news,0.4194979125886975
39440,Republicans urge Bevin to provide proof of election fraud or concede,news,0.3551268537190726
21194,"Luke DeCock: After Cole Anthony's spectacular UNC debut, he's not just talented. He's indispensable.",sports,0.3526482098948736
22016,NFL players who should be traded before the deadline,sports,0.3358159434610111
15968,XFL draft pool full of NFL experience and names you know,sports,0.3324719452081618
15709,Felicity Huffman is pictured in prison jumpsuit during visit from husband William H. Macy and daughter Sophia as she starts two week sentence over college admissions scandal,tv,0.3072326154128095
3269,Joe Flacco criticizes Broncos coaches as 'afraid to lose' after Colts' comeback,sports,0.2976201490973331
743,"Report: Mariota, Winston 'likely' done as 'franchise leaders'",sports,0.2897783662566077
1546,Prosecutors want black judge who criticized incarceration rates of African Americans removed,news,0.2722377051393612
28331,Have we seen the last of Broncos QB Flacco in NFL?,sports,0.2715051353359632
